,TIPLOC,TOC_New
1291,KGSTON,SW (95.45%); ZZ (4.55%)
1292,KGUSSIE,ZZ (100.0%)
1293,KGWD,SN (100.0%)
1294,KIDBROK,SE (100.0%)
1295,KIDSGRV,NT (5.14%); VT (56.27%); WR (0.21%); XC (38.28%); ZZ (0.1%)
1296,KIDWELY,AW (89.72%); GW (10.28%)
1297,KILMRNK,VT (100.0%)
1298,KILWNNG,SR (48.15%); ZZ (51.85%)
1299,KINBRAC,SR (100.0%)
1300,KIRKHAM,NT (87.37%); VT (12.63%)
1301,KIRKMWJ,NT (100.0%)
1302,KKERRAN,SR (100.0%)
1303,KKSNDAL,GR (21.43%); NT (23.81%); TP (50.0%); ZZ (4.76%)
1304,KKSNJN,ZZ (100.0%)
1305,KLBRNHR,LO (100.0%)
1306,KLBYBDG,EM (98.73%); ZZ (1.27%)
1307,KLGL,CS (8.33%); LM (25.42%); SN (0.83%); VT (65.42%)
1308,KMSLY,SE (100.0%)
1309,KNCKHLT,SE (98.85%); ZZ (1.15%)
1310,KNCRAIG,CS (5.35%); GR (8.57%); SR (79.01%); ZZ (7.07%)
1311,KNEBWTH,CS (0.81%); GN (17.89%); GR (29.67%); HT (0.81%); LD (3.25%); TL (46.75%); ZZ (0.81%)
1312,KNGSBYJ,VT (4.03%); WR (0.09%); XC (95.41%); ZZ (0.47%)
1313,KNGXBEL,GC (4.16%); GN (15.67%); GR (33.07%); HT (2.83%); LD (3.23%); TL (40.97%); ZZ (0.07%)
1314,KNGXFTJ,CS (63.16%); ZZ (36.84%)
1315,KNLY,SN (100.0%)
1316,KNMTSB,SR (92.97%); ZZ (7.03%)
1317,KNNGTNJ,GW (80.84%); LS (0.06%); XC (18.99%); ZZ (0.12%)
1318,KNORTON,LM (36.79%); WR (0.09%); XC (62.71%); ZZ (0.41%)
1319,KNTBRY,GW (100.0%)
1320,KNTNGSJ,GC (96.39%); GR (3.61%)
1321,KNTNGWJ,GC (6.75%); GR (0.25%); NT (93.0%)
1322,KNTSHTN,EM (47.91%); TL (52.09%)
1323,KNTSHTW,LO (95.12%); ZZ (4.88%)
1324,KRKC,LS (14.29%); VT (85.71%)
1325,KRKDALE,ME (100.0%)
1326,KRKP862,CS (5.43%); TP (42.43%); VT (51.86%); WR (0.29%)
1327,KRKP863,CS (5.79%); TP (42.37%); VT (51.84%)
1328,KRKYCEN,EM (52.63%); ZZ (47.37%)
1329,KRKYLEJ,EM (95.54%); ZZ (4.46%)
1330,KSNY,SE (100.0%)
1331,KSTP,LS (40.0%); WR (60.0%)
1332,KTON,LO (7.83%); LT (92.17%)
1333,KVTNPK,NT (100.0%)
1334,LADYBHL,SR (100.0%)
1335,LADYBNK,CS (7.32%); GR (21.67%); SR (47.29%); XC (14.35%); ZZ (9.37%)
1336,LAGHJN,EM (15.37%); XC (83.24%); ZZ (1.39%)
1337,LAINDON,CC (97.47%); WR (0.46%); ZZ (2.07%)
1338,LAKEIOW,IL (100.0%)
1339,LANARKJ,CS (3.97%); GR (2.63%); SR (43.47%); TP (19.16%); VT (26.1%); XC (4.67%)
1340,LANBDRN,AW (100.0%)
1341,LANCSTR,CS (37.25%); LS (2.94%); NT (0.98%); TP (23.53%); VT (19.12%); WR (16.18%)
1342,LANDUDJ,AW (33.33%); VT (66.67%)
1343,LANGLEY,GW (87.59%); HX (0.69%); XR (4.14%); ZZ (7.59%)
1344,LARAJN,GW (40.0%); ZZ (60.0%)
1345,LARBERJ,CS (2.18%); GR (4.18%); SR (93.65%)
1346,LAVNGTN,GW (98.75%); WR (0.42%); ZZ (0.84%)
1347,LAWJ,CS (4.03%); GR (2.67%); SR (42.68%); TP (19.43%); VT (26.47%); XC (4.73%)
1348,LAWRNCH,GW (100.0%)
1349,LAZKRKO,LS (11.76%); NT (70.59%); WR (17.65%)
1350,LBGHJN,SE (8.86%); TL (91.14%)
1351,LBRDFJN,CS (2.21%); LM (43.79%); LS (0.58%); VT (4.3%); WR (1.86%); XC (42.97%); ZZ (4.3%)
1352,LCHC,VT (7.19%); XC (91.37%); ZZ (1.44%)
1353,LCHRDGJ,SR (96.59%); VT (2.48%); ZZ (0.93%)
1354,LCHTNJ,CS (1.8%); LM (16.52%); LS (0.21%); VT (72.96%); WR (0.66%); XC (0.52%); ZZ (7.31%)
1355,LCHTTVH,VT (7.19%); XC (91.37%); ZZ (1.44%)
1356,LCHTTVJ,VT (23.53%); XC (64.71%); ZZ (11.76%)
1357,LCHTTVL,CS (16.95%); VT (55.93%); XC (18.64%); ZZ (8.47%)
1358,LCHWNCH,SR (97.6%); ZZ (2.4%)
1359,LCKRBIE,CS (10.33%); TP (3.92%); VT (85.49%); WR (0.26%)
1360,LCKWTHJ,AW (59.17%); GW (40.83%)
1361,LDBRKJ,GW (46.31%); HX (17.12%); XR (36.5%); ZZ (0.07%)
1362,LDBURY,GW (100.0%)
1363,LDYW,SE (100.0%)
1364,LDYWJN,SE (100.0%)
1365,LEAGRVE,EM (90.0%); TL (10.0%)
1366,LEAGRVJ,EM (51.79%); TL (47.68%); ZZ (0.53%)
1367,LEAHALL,AW (23.0%); LM (31.0%); VT (29.0%); XC (17.0%)
1368,LEAJ,LO (99.19%); SO (0.05%); ZZ (0.76%)
1369,LEDBRNJ,CS (0.95%); LM (42.14%); LS (0.09%); VT (55.37%); WR (0.4%); ZZ (1.05%)
1370,LEEDS,WR (33.33%); XC (33.33%); ZZ (33.33%)
1371,LEEDSWJ,GR (10.69%); LS (0.01%); NT (69.69%); TP (15.43%); WR (0.06%); XC (4.1%); ZZ (0.02%)
1372,LEEE,SE (99.78%); ZZ (0.22%)
1373,LEESPRJ,SE (100.0%)
1374,LEGR,EM (30.0%); NT (70.0%)
1375,LENHAM,SE (100.0%)
1376,LENHAMX,ES (35.11%); SE (64.89%)
1377,LENZIE,SR (99.8%); ZZ (0.2%)
1378,LEOMNST,AW (99.14%); ZZ (0.86%)
1379,LESTER,EM (13.46%); XC (53.85%); ZZ (32.69%)
1380,LESTHRJ,ZZ (100.0%)
1381,LESTKJN,ZZ (100.0%)
1382,LESTRNJ,XC (69.57%); ZZ (30.43%)
1383,LESTRSJ,XC (91.91%); ZZ (8.09%)
1384,LETHRHD,SN (35.79%); SW (64.21%)
1385,LEUCHRS,SR (10.26%); XC (62.82%); ZZ (26.92%)
1386,LEWES,SN (79.93%); TL (20.07%)
1387,LEWISHM,SE (96.76%); ZZ (3.24%)
1388,LEWIVLJ,SE (99.8%); ZZ (0.2%)
1389,LEYTNMR,LO (89.61%); WR (10.39%)
1390,LFGNLC,SR (95.38%); ZZ (4.62%)
1391,LFPW,AW (59.79%); VT (40.21%)
1392,LGFD,SE (100.0%)
1393,LGHO,LS (11.11%); NT (88.89%)
1394,LGLNJN,SR (95.4%); TP (2.04%); VT (2.21%); WR (0.35%)
1395,LGML,EM (92.57%); NT (0.34%); WR (0.34%); ZZ (6.76%)
1396,LGWOOD,LE (100.0%)
1397,LHONSEA,CC (93.25%); WR (1.93%); ZZ (4.82%)
1398,LHVN,SN (100.0%)
1399,LIFODEJ,LM (4.32%); WR (0.62%); XC (91.98%); ZZ (3.09%)
1400,LIFODWJ,XC (100.0%)
1401,LIMHSE,CC (100.0%)
1402,LINCLNC,EM (100.0%)
1403,LINDLA,EM (100.0%)
1404,LIPHOOK,SW (100.0%)
1405,LIPSONJ,GW (73.6%); WR (0.18%); XC (26.05%); ZZ (0.18%)
1406,LISK260,GW (94.38%); XC (5.27%); ZZ (0.35%)
1407,LISKARD,GW (86.21%); ZZ (13.79%)
1408,LISS,SW (100.0%)
1409,LITLBRO,NT (79.45%); TP (20.3%); WR (0.25%)
1410,LIVSTLL,XR (100.0%)
1411,LLANDAF,AW (100.0%)
1412,LLDELOJ,AW (92.92%); GW (7.08%)
1413,LLHLETH,AW (100.0%)
1414,LLISHEN,AW (100.0%)
1415,LLNLLI,AW (11.43%); GW (88.57%)
1416,LLNSMLT,AW (26.47%); GW (73.53%)
1417,LLNWTMR,AW (66.67%); LS (33.33%)
1418,LMNGTNS,CH (60.0%); LS (5.0%); XC (35.0%)
1419,LNCG,SN (100.0%)
1420,LNDDAP,TP (100.0%)
1421,LNDNASJ,SE (1.01%); SN (95.28%); TL (3.71%)
1422,LNDNBCJ,SN (96.71%); TL (3.29%)
1423,LNDNBDE,SE (75.5%); TL (24.5%)
1424,LNDOREJ,AW (100.0%)
1425,LNDRSTJ,VT (2.69%); WR (0.06%); XC (97.19%); ZZ (0.06%)
1426,LNGBKBY,CS (2.32%); LM (15.06%); LS (1.93%); VT (38.61%); WR (11.58%); ZZ (30.5%)
1427,LNGCROS,SW (100.0%)
1428,LNGDYKJ,AW (39.87%); GW (45.92%); LS (0.04%); XC (11.13%); ZZ (3.05%)
1429,LNGEATN,EM (90.48%); XC (9.52%)
1430,LNGETNX,ZZ (100.0%)
1431,LNGHDGJ,LO (90.43%); SN (5.49%); WR (1.18%); ZZ (2.91%)
1432,LNGLNDJ,CS (3.68%); GC (5.52%); GR (20.86%); NT (10.43%); TP (57.06%); WR (2.45%)
1433,LNGP,NT (31.82%); XC (68.18%)
1434,LNGROCK,GW (95.0%); XC (5.0%)
1435,LNGSGHT,NT (31.11%); VT (55.56%); ZZ (13.33%)
1436,LNGSTN,NT (18.37%); TP (19.59%); VT (46.53%); XC (15.51%)
1437,LNGWRTH,EM (100.0%)
1438,LNGYJN,GN (92.12%); HT (0.11%); LD (0.78%); TL (5.88%); ZZ (1.11%)
1439,LNGYSJN,GC (1.53%); GN (90.71%); HT (0.11%); LD (0.77%); TL (5.79%); ZZ (1.09%)
1440,LNLTHGW,CS (9.23%); GR (17.71%); SR (67.71%); VT (3.87%); WR (0.74%); ZZ (0.74%)
1441,LNTN,EM (100.0%)
1442,LOGHBRO,EM (89.31%); XC (6.72%); ZZ (3.97%)
1443,LONB,LM (36.62%); WR (0.09%); XC (62.74%); ZZ (0.54%)
1444,LONFLDS,LE (69.33%); LO (30.67%)
1445,LOSTCKJ,NT (82.7%); TP (17.17%); VT (0.14%)
1446,LOWDHAM,EM (100.0%)
1447,LOWFELJ,GR (20.9%); LS (1.49%); XC (74.63%); ZZ (2.99%)
1448,LOWHXSB,LS (1.26%); NT (96.86%); WR (1.89%)
1449,LOWRWSB,GR (5.85%); LS (0.21%); NT (93.42%); WR (0.52%)
1450,LRGN,GW (94.97%); XC (4.74%); ZZ (0.29%)
1451,LRKFLDJ,CS (3.72%); GR (2.02%); SR (52.34%); TP (16.0%); VT (20.93%); XC (4.1%); ZZ (0.88%)
1452,LRNCKRK,CS (5.69%); GR (16.86%); SR (64.35%); XC (9.11%); ZZ (3.99%)
1453,LSTH,NT (100.0%)
1454,LSTHJN,LS (0.15%); NT (98.65%); WR (1.2%)
1455,LSTOKNJ,XC (100.0%)
1456,LSTOKSJ,XC (100.0%)
1457,LSTWTHL,GW (88.03%); XC (11.11%); ZZ (0.85%)
1458,LSYDNHM,SE (100.0%)
1459,LTCE,GN (93.14%); TL (6.86%)
1460,LTCEADL,TL (100.0%)
1461,LTCEREC,TL (100.0%)
1462,LTCHMRJ,LO (81.63%); SN (16.46%); WR (0.72%); ZZ (1.19%)
1463,LTHH,AW (100.0%)
1464,LTLHMJN,SN (97.22%); TL (2.78%)
1465,LTLKMBL,CH (100.0%)
1466,LTLPORT,GN (17.39%); LE (82.61%)
1467,LTTLMLJ,AW (96.21%); GW (3.61%); ZZ (0.18%)
1468,LUGTON,SR (96.99%); VT (2.07%); ZZ (0.93%)
1469,LUTOAPY,EM (93.55%); TL (6.45%)
1470,LUTON,EM (97.85%); TL (0.7%); ZZ (1.44%)
1471,LUTONNJ,TL (100.0%)
1472,LVHM,AW (26.12%); EM (7.46%); NT (30.6%); TP (9.7%); VT (17.16%); XC (8.21%); ZZ (0.75%)
1473,LVNSTNS,CS (36.36%); VT (6.06%); XC (28.79%); ZZ (28.79%)
1474,LVRPLCH,ME (100.0%)
1475,LVRPLCL,ME (100.0%)
1476,LVRPLCS,AW (9.75%); EM (6.69%); LM (8.9%); NT (51.32%); TP (12.56%); VT (10.77%)
1477,LVRPLSL,ME (100.0%)
1478,LVRPSPY,ME (100.0%)
1479,LWERWJN,AW (12.32%); GW (66.85%); LS (0.05%); XC (16.05%); ZZ (4.73%)
1480,LYDNEY,AW (4.44%); GW (5.76%); XC (63.49%); ZZ (26.32%)
1481,LYNDHRD,SW (11.54%); XC (88.46%)
1482,LYTNSHR,LO (100.0%)
1483,MACLSFD,NT (9.76%); VT (88.94%); WR (0.87%); ZZ (0.43%)
1484,MADEJN,AW (36.61%); LM (58.17%); LS (0.76%); VT (4.35%); ZZ (0.11%)
1485,MADELEY,CS (1.66%); LM (30.97%); LS (0.59%); VT (58.64%); WR (0.61%); XC (0.74%); ZZ (6.77%)
1486,MAINDEJ,GW (51.72%); ZZ (48.28%)
1487,MAINDNJ,AW (96.21%); GW (3.61%); ZZ (0.18%)
1488,MAINDWJ,AW (30.83%); GW (52.93%); LS (0.04%); XC (12.51%); ZZ (3.69%)
1489,MALRSTG,NT (97.47%); WR (2.53%)
1490,MALTBTH,TP (100.0%)
1491,MALTKKA,TP (100.0%)
1492,MANEA,EM (52.14%); XC (47.86%)
1493,MANNGTR,LE (96.92%); ZZ (3.08%)
1494,MANNTEJ,LE (100.0%)
1495,MANNTNJ,LE (100.0%)
1496,MANORS,GR (100.0%)
1497,MANRPK,CC (5.64%); LE (57.5%); LO (10.05%); SO (0.35%); XR (19.22%); ZZ (7.23%)
1498,MANTLFF,EM (6.53%); XC (93.47%)
1499,MANTONJ,EM (15.37%); XC (83.24%); ZZ (1.39%)
1500,MARDEN,SE (100.0%)
1501,MARGATE,SE (87.88%); ZZ (12.12%)
1502,MARPLWJ,EM (1.34%); NT (96.43%); TP (2.23%)
1503,MASH,AW (100.0%)
1504,MAUCHLN,LS (4.17%); SR (83.33%); VT (12.5%)
1505,MAZEH,SE (78.26%); TL (21.74%)
1506,MBRKCLJ,GW (18.43%); LS (0.05%); SW (70.55%); XC (10.97%)
1507,MBRONJN,ZZ (100.0%)
1508,MCHLDVR,SW (69.57%); XC (30.43%)
1509,MCKLFLD,GR (1.32%); LS (0.18%); NT (21.61%); TP (59.36%); WR (0.06%); XC (17.46%)
1510,MDCLDRJ,CS (9.68%); GR (3.56%); SR (40.08%); TP (19.7%); VT (17.96%); WR (0.13%); XC (8.74%); ZZ (0.13%)
1511,MDLSBRO,GR (100.0%)
1512,MDNHDE,GW (88.83%); XR (11.17%)
1513,MDNHEAD,GW (95.79%); HX (1.2%); LS (0.08%); WR (0.1%); XR (1.83%); ZZ (1.0%)
1514,MEADLAJ,EM (36.36%); NT (60.61%); ZZ (3.03%)
1515,MELDRTH,GN (31.58%); TL (68.42%)
1516,MELKSHM,GW (100.0%)
1517,MENAIBG,AW (76.46%); VT (23.54%)
1518,MENH259,GW (94.15%); XC (5.53%); ZZ (0.33%)
1519,MEOLSCP,NT (100.0%)
1520,MEOPHAM,SE (100.0%)
1521,MERSTHM,GX (0.8%); SN (46.4%); TL (52.8%)
1522,MERTHRV,AW (100.0%)
1523,METHLYJ,GC (1.87%); GR (0.18%); NT (87.13%); TP (8.73%); WR (0.07%); XC (2.01%)
1524,MEXBRGH,NT (46.04%); TP (42.01%); XC (11.46%); ZZ (0.5%)
1525,MFDB,CS (32.48%); LM (21.37%); VT (16.24%); XC (6.84%); ZZ (23.08%)
1526,MFLDWSE,EM (32.08%); ZZ (67.92%)
1527,MHERON,SW (100.0%)
1528,MIDGHAM,GW (100.0%)
1529,MIKLTRF,AW (55.71%); NT (44.29%)
1530,MILBRNJ,CS (3.04%); GR (7.9%); SR (82.25%); ZZ (6.81%)
1531,MILESPL,NT (77.04%); TP (22.65%); WR (0.16%); ZZ (0.14%)
1532,MILFDY,NT (5.93%); TP (72.22%); WR (3.33%); XC (18.52%)
1533,MILTJN,WR (33.33%); ZZ (66.67%)
1534,MINSTEJ,SE (98.74%); ZZ (1.26%)
1535,MINSTER,SE (96.59%); ZZ (3.41%)
1536,MINSTSJ,SE (100.0%)
1537,MIRFEJN,GC (6.86%); NT (16.13%); TP (76.71%); WR (0.15%); ZZ (0.15%)
1538,MIRFILD,NT (2.65%); TP (93.81%); WR (0.88%); ZZ (2.65%)
1539,MITCHMJ,SN (95.33%); TL (4.67%)
1540,MKIN,SR (21.21%); ZZ (78.79%)
1541,MKNSCEN,CS (2.6%); LM (2.81%); LS (0.17%); VT (91.71%); WR (1.1%); ZZ (1.61%)
1542,MKTR,EM (100.0%)
1543,MLBRKB,ZZ (100.0%)
1544,MLDSWTH,AW (100.0%)
1545,MLDTHRD,AW (20.37%); NT (34.57%); TP (45.06%)
1546,MLFORD,SW (100.0%)
1547,MLHB,EM (29.41%); TL (70.59%)
1548,MLLNJN,GC (5.32%); NT (94.68%)
1549,MLNRYDJ,NT (91.08%); TP (8.81%); WR (0.11%)
1550,MLSECMB,SN (100.0%)
1551,MLTNFBY,EM (18.08%); XC (79.48%); ZZ (2.44%)
1552,MLTNS54,EM (16.17%); XC (81.13%); ZZ (2.7%)
1553,MLTNSDG,EM (56.52%); ZZ (43.48%)
1554,MLTNWHI,EM (15.37%); XC (83.24%); ZZ (1.39%)
1555,MLVRNWL,GW (25.16%); LM (74.84%)
1556,MLVTJN,LM (51.54%); LS (0.15%); XC (48.31%)
1557,MMIL,SE (100.0%)
1558,MNCRDGT,AW (17.2%); EM (12.45%); NT (37.22%); TP (31.71%); VT (1.31%); ZZ (0.12%)
1559,MNCRDST,NT (74.62%); TP (24.97%); WR (0.24%); ZZ (0.17%)
1560,MNCROXR,AW (6.16%); EM (9.0%); NT (31.75%); TP (38.86%); VT (13.03%); ZZ (1.18%)
1561,MNCRPIC,AW (1.96%); EM (23.53%); NT (33.33%); TP (10.78%); VT (25.49%); ZZ (4.9%)
1562,MNCRVIC,NT (38.86%); TP (54.86%); WR (1.71%); ZZ (4.57%)
1563,MNKTNHJ,CS (0.85%); GR (41.73%); LD (6.58%); SR (24.12%); TP (8.49%); WR (0.07%); XC (18.18%)
1564,MNTFLDT,SE (100.0%)
1565,MNTGLDJ,GW (70.81%); XC (29.19%)
1566,MNTNJN,LE (98.82%); ZZ (1.18%)
1567,MOBERLY,AW (100.0%)
1568,MOLEJN,GC (1.53%); GN (90.71%); HT (0.11%); LD (0.77%); TL (5.79%); ZZ (1.09%)
1569,MONTRSE,SR (39.36%); XC (42.55%); ZZ (18.09%)
1570,MORCMSJ,CS (2.49%); LS (0.26%); NT (45.75%); TP (21.38%); VT (28.3%); WR (1.8%)
1571,MORETON,LS (0.49%); SW (99.51%)
1572,MORFLDS,ME (100.0%)
1573,MORFNL,ME (100.0%)
1574,MORLASJ,AW (100.0%)
1575,MORTHRP,NT (2.32%); TP (13.31%); XC (83.36%); ZZ (1.01%)
1576,MOSENDE,CS (2.87%); SR (76.63%); TP (7.39%); VT (6.17%); XC (3.97%); ZZ (2.98%)
1577,MOSENDN,SR (96.43%); TP (1.68%); VT (0.29%); ZZ (1.6%)
1578,MOSENDS,CS (1.22%); SR (95.43%); VT (1.73%); ZZ (1.62%)
1579,MOSENDW,CS (2.4%); SR (88.05%); TP (3.11%); VT (3.54%); XC (2.55%); ZZ (0.35%)
1580,MOSENXT,SR (98.32%); TP (1.43%); VT (0.25%)
1581,MOSSLEY,TP (97.87%); WR (2.13%)
1582,MOSTEJN,AW (80.15%); LS (0.22%); VT (14.29%); ZZ (5.34%)
1583,MOSTWJN,AW (50.0%); ZZ (50.0%)
1584,MOTFONT,GW (80.0%); SW (20.0%)
1585,MOTHRWL,CS (15.35%); GR (6.71%); SR (0.72%); TP (11.27%); VT (61.63%); ZZ (4.32%)
1586,MOTNGHM,SE (100.0%)
1587,MOTSPRP,SW (100.0%)
1588,MOYY,CS (11.44%); GR (9.15%); SR (73.91%); ZZ (5.49%)
1589,MPRT,NT (100.0%)
1590,MRCH,EM (97.71%); XC (2.29%)
1591,MRCHWJN,EM (36.67%); LE (21.27%); XC (42.06%)
1592,MRGMAWE,GW (100.0%)
1593,MRGMAWJ,GW (100.0%)
1594,MRGMEJ,GW (100.0%)
1595,MRGMMJN,AW (48.17%); GW (51.71%); LS (0.12%)
1596,MRHLMJN,XC (100.0%)
1597,MRHSCJ,SR (100.0%)
1598,MRHSNJ,CS (0.1%); SR (99.29%); VT (0.53%); ZZ (0.08%)
1599,MRHSSJ,SR (98.55%); VT (1.05%); ZZ (0.39%)
1600,MRKSTEY,LE (99.43%); ZZ (0.57%)
1601,MRKTHRB,EM (97.07%); ZZ (2.93%)
1602,MRLDJN,AW (76.8%); GW (17.6%); ZZ (5.6%)
1603,MRLNJN,GR (35.35%); NT (58.48%); XC (6.18%)
1604,MRLY,NT (0.86%); TP (99.04%); WR (0.11%)
1605,MRPTHRP,CS (1.84%); GR (74.37%); LD (0.69%); WR (0.15%); XC (22.95%)
1606,MRRYTNL,SR (100.0%)
1607,MRRYTON,SR (100.0%)
1608,MRSN,NT (1.0%); TP (98.86%); WR (0.14%)
1609,MRSTNGR,AW (23.71%); LM (28.87%); VT (29.9%); XC (17.53%)
1610,MRTLKE,SW (100.0%)
1611,MRTNCUT,GW (93.75%); WR (6.25%)
1612,MRTNONL,AW (99.8%); ZZ (0.2%)
1613,MRYHILL,SR (96.0%); ZZ (4.0%)
1614,MRYLAND,CC (1.35%); LE (95.6%); LO (0.88%); SO (0.09%); XR (0.88%); ZZ (1.2%)
1615,MSHBRKX,AW (99.83%); ZZ (0.17%)
1616,MSHFILD,AW (38.84%); GW (46.63%); LS (0.04%); XC (11.3%); ZZ (3.19%)
1617,MSLH,EM (100.0%)
1618,MSTONEE,SE (24.44%); ZZ (75.56%)
1619,MSTONEW,SE (100.0%)
1620,MTFL,CS (4.9%); SR (93.14%); VT (1.96%)
1621,MTIMER,SW (12.5%); XC (87.5%)
1622,MTRBDGJ,LO (82.32%); SN (15.87%); WR (0.76%); ZZ (1.05%)
1623,MTRPLTJ,TL (100.0%)
1624,NABT,GW (69.15%); LS (17.02%); WR (4.26%); ZZ (9.57%)
1625,NABTWJ,GW (81.99%); LS (0.51%); WR (0.13%); XC (17.03%); ZZ (0.35%)
1626,NAFERTN,NT (100.0%)
1627,NAILSEA,GW (100.0%)
1628,NAIRN,SR (33.33%); ZZ (66.67%)
1629,NANTWCH,AW (97.77%); ZZ (2.23%)
1630,NASHENX,ES (35.11%); SE (64.89%)
1631,NAVGTNR,AW (100.0%)
1632,NAVRDJ,LO (98.96%); SO (0.1%); ZZ (0.94%)
1633,NBARNET,CS (0.62%); GN (13.4%); GR (22.74%); HT (0.62%); LD (2.49%); TL (59.5%); ZZ (0.62%)
1634,NBCKNHM,SE (100.0%)
1635,NBRG,SR (96.09%); ZZ (3.91%)
1636,NBRWGE,AW (100.0%)
1637,NCRAGHA,SR (99.18%); WR (0.82%)
1638,NCRASJN,SR (100.0%)
1639,NDULWCH,SN (100.0%)
1640,NEASDSJ,CH (100.0%)
1641,NEATH,AW (41.1%); GW (58.9%)
1642,NENGLNN,EM (82.35%); ZZ (17.65%)
1643,NETLEY,GW (36.36%); SW (63.64%)
1644,NEVLWJN,GR (6.58%); LS (0.19%); NT (45.15%); TP (36.38%); WR (0.04%); XC (11.59%); ZZ (0.08%)
1645,NEWANG,CS (0.94%); GC (15.34%); GR (64.75%); HT (10.6%); LD (7.82%); ZZ (0.55%)
1646,NEWBRYR,GW (100.0%)
1647,NEWBURY,GW (99.28%); ZZ (0.72%)
1648,NEWCLEE,EM (25.0%); TP (75.0%)
1649,NEWHVNH,SN (100.0%)
1650,NEWHVNT,SN (100.0%)
1651,NEWKEWJ,ZZ (100.0%)
1652,NEWMLDN,SW (99.37%); ZZ (0.63%)
1653,NEWNGTN,SE (97.98%); ZZ (2.02%)
1654,NEWSGAT,CS (0.64%); GN (15.38%); GR (23.4%); HT (0.64%); LD (2.56%); TL (56.73%); ZZ (0.64%)
1655,NEWTNJ,ZZ (100.0%)
1656,NEWXGTE,LO (1.83%); SE (0.46%); SN (37.9%); TL (59.81%)
1657,NEWXNJN,LO (100.0%)
1658,NIDRIWJ,SR (8.19%); VT (17.54%); WR (1.17%); XC (60.82%); ZZ (12.28%)
1659,NINELMJ,SW (100.0%)
1660,NINIANP,AW (92.06%); GW (7.94%)
1661,NKENTEJ,SE (85.99%); TL (14.01%)
1662,NLRTEJN,GC (27.15%); GR (3.25%); TP (69.61%)
1663,NLRTN,CS (1.24%); GR (45.47%); LD (10.35%); LS (0.1%); NT (5.02%); TP (3.26%); WR (0.41%); XC (33.94%); ZZ (0.21%)
1664,NMPTMLJ,LS (12.5%); WR (87.5%)
1665,NMPTN,CS (2.83%); LM (5.19%); LS (2.36%); VT (38.68%); WR (14.15%); ZZ (36.79%)
1666,NMPTNNJ,LM (72.34%); ZZ (27.66%)
1667,NNRYMLJ,EM (6.3%); NT (72.85%); TP (9.56%); XC (11.26%); ZZ (0.03%)
1668,NNTN,CS (2.53%); LS (0.23%); VT (92.67%); WR (0.93%); XC (0.37%); ZZ (3.26%)
1669,NNTNABJ,VT (0.24%); XC (99.36%); ZZ (0.4%)
1670,NNTNASJ,ZZ (100.0%)
1671,NNTNCHC,LM (99.7%); LS (0.3%)
1672,NORBURY,GX (4.81%); SN (55.77%); TL (39.42%)
1673,NORTONS,GC (25.16%); GR (2.99%); NT (71.86%)
1674,NORWDFJ,LO (1.21%); SE (1.33%); SN (61.02%); TL (36.44%)
1675,NORWDJ,LO (2.64%); SE (1.44%); SN (32.54%); TL (63.33%); WR (0.04%)
1676,NPLE813,LO (72.0%); SN (24.0%); ZZ (4.0%)
1677,NPLE818,LO (93.33%); ZZ (6.67%)
1678,NPOLEJ,LO (97.12%); SN (0.79%); WR (0.73%); ZZ (1.36%)
1679,NRCHTPJ,EM (9.99%); LE (90.01%)
1680,NRMNSBY,SN (100.0%)
1681,NRTF,LM (32.14%); XC (67.86%)
1682,NRTHFLT,SE (100.0%)
1683,NRTNJN,GW (91.71%); LS (0.31%); XC (5.79%); ZZ (2.19%)
1684,NRWDJN,GR (3.48%); LS (0.12%); NT (96.09%); WR (0.31%)
1685,NSHEEN,SW (100.0%)
1686,NSJDRBY,EM (20.2%); WR (0.08%); XC (78.29%); ZZ (1.42%)
1687,NSMRSTJ,GW (98.42%); LS (0.3%); WR (0.37%); XC (0.06%); ZZ (0.85%)
1688,NTHCAMP,GW (55.42%); WR (4.82%); XC (39.76%)
1689,NTHMJN,GW (11.42%); LS (0.03%); SN (20.55%); SW (59.56%); XC (8.44%)
1690,NTHMRCL,SW (100.0%)
1691,NTHNDNJ,AW (6.8%); NT (93.2%)
1692,NTHNSHJ,AW (6.8%); NT (93.2%)
1693,NTHOPKJ,CH (100.0%)
1694,NTHRFLJ,EM (100.0%)
1695,NTHWICH,AW (100.0%)
1696,NTNB,CS (0.47%); LM (26.76%); LS (0.15%); VT (65.74%); WR (0.35%); XC (0.95%); ZZ (5.58%)
1697,NTNFTZN,GW (73.04%); LS (0.77%); WR (0.19%); XC (25.46%); ZZ (0.53%)
1698,NTNGMJN,EM (69.39%); NT (10.15%); XC (20.45%)
1699,NUNHEAD,SE (89.56%); TL (4.64%); ZZ (5.8%)
1700,NUTBORN,SN (100.0%)
1701,NWALSHM,LE (100.0%)
1702,NWBG,CS (2.65%); GR (2.55%); SR (94.08%); VT (0.56%); WR (0.11%); ZZ (0.05%)
1703,NWBICUL,LS (1.26%); NT (96.86%); WR (1.89%)
1704,NWBIKTH,LS (1.26%); NT (96.86%); WR (1.89%)
1705,NWCMNCK,LS (14.29%); VT (85.71%)
1706,NWCROSS,SE (100.0%)
1707,NWCRTHJ,SE (100.0%)
1708,NWCSTLE,TP (100.0%)
1709,NWELTHM,SE (100.0%)
1710,NWEMBLY,LO (7.83%); LT (92.17%)
